0 0 1 2
1 0 0 2
2 0 0 2
3 0 0 1
4 0 2 2
5 1 2 1
6 2 3 1
7 1 1 4
8 1 1 3
9 0 2 2
10 0 2 3
11 0 5 7
12 1 4 3
13 2 9 9
14 1 5 7
15 2 7 10
16 2 10 8
17 2 10 14
18 1 12 11
19 5 11 10
20 6 19 12
21 3 12 20
22 7 16 21
23 6 16 17
24 5 20 38
25 2 32 40
26 11 39 44
27 12 50 53
28 15 56 65
29 13 57 63
30 13 85 74
31 11 93 105
32 19 93 120
33 14 131 139
34 26 153 189
35 28 208 222
36 34 5 48
37 24 99 148
38 35 226 241
39 44 128 110
40 43 23 233
41 42 74 235
42 74 87 34
43 76 252 255
44 76 228 188
45 120 84 165
46 107 218 127
47 146 186 137
48 157 127 133
49 214 128 133
50 247 56 124
51 253 49 126
52 39 44 117
53 82 33 49
54 105 27 217
55 152 58 222
56 176 83 1
57 219 86 235
58 223 95 241
59 185 107 4
60 171 131 237
61 92 151 218
62 82 129 229
63 34 127 224
64 247 45 217
65 243 52 234
66 220 60 226
67 232 37 28
68 183 23 23
69 192 11 14
70 154 27 25
71 161 20 42
72 180 47 249
73 164 64 246
74 127 10 239
75 163 31 223
76 166 60 224
77 151 71 244
78 164 60 5
79 181 68 16
80 182 79 34
81 150 94 70
82 151 46 35
83 154 90 52
84 154 36 132
85 134 46 133
86 133 80 31
87 121 61 0
88 110 57 155
89 150 122 140
90 133 157 39
91 148 205 39
92 132 230 239
93 123 240 224
94 120 238 198
95 116 206 171
96 138 194 180
97 128 210 136
98 150 207 161
99 123 149 157
100 148 175 143
101 144 159 146
102 145 170 139
103 138 203 117
104 176 192 121
105 140 211 115
106 132 159 115
107 144 122 130
108 157 71 102
109 171 42 129
110 169 44 129
111 176 26 117
112 209 2 102
113 179 19 111
114 184 206 129
115 190 14 105
116 191 4 100
117 166 241 107
118 168 225 119
119 164 237 99
120 157 203 116
121 172 216 100
122 153 193 117
123 178 158 103
124 157 135 131
125 172 138 133
126 198 105 110
127 171 106 123
128 185 100 112
129 146 108 110
130 187 109 101
131 193 91 108
132 202 92 121
133 152 95 112
134 210 92 109
135 175 81 107
136 226 82 107
137 169 79 103
138 185 75 111
139 180 84 116
140 172 94 93
141 213 83 100
142 229 108 97
143 222 95 67
144 253 104 66
145 15 121 68
146 255 107 73
147 237 124 76
148 44 109 89
149 20 126 92
150 7 108 71
151 14 129 75
152 246 104 55
153 41 104 80
154 25 109 71
155 43 114 66
156 77 114 67
157 20 98 75
158 58 89 74
159 24 127 65
160 55 101 72
161 79 99 47
162 92 88 57
163 115 110 38
164 102 105 39
165 111 111 36
166 91 119 30
167 71 90 25
168 61 111 33
169 24 119 19
170 39 123 23
171 60 94 15
172 50 96 28
173 57 106 13
174 57 90 14
175 108 64 15
176 54 69 15
177 86 50 10
178 85 54 9
179 47 48 12
180 52 40 13
181 21 21 8
182 42 38 8
183 12 33 15
184 3 28 6
185 16 23 4
186 27 15 7
187 26 25 11
188 40 17 7
189 28 17 11
190 34 15 6
191 24 22 7
192 27 7 4
193 4 11 6
194 249 13 4
195 10 10 6
196 219 6 7
197 213 13 3
198 199 12 4
199 169 7 1
200 157 6 1
201 153 7 5
202 127 4 0
203 128 7 5
204 119 5 4
205 120 4 2
206 93 1 3
207 124 2 3
208 91 4 1
209 116 2 2
210 112 0 0
211 85 3 2
212 101 2 3
213 86 4 2
214 88 0 1
215 96 3 0
216 96 1 4
217 104 0 1
218 122 0 1
219 104 1 0
220 107 2 0
221 96 4 1
222 106 0 3
223 127 2 0
224 99 1 0
225 102 0 0
226 112 1 0
227 100 0 0
228 103 0 0
229 84 0 0
230 78 1 0
231 59 0 1
232 42 0 1
233 40 0 0
234 33 0 0
235 27 0 0
236 26 0 0
237 22 0 0
238 38 0 0
239 19 0 0
240 24 0 0
241 21 0 0
242 12 0 0
243 13 0 0
244 14 0 0
245 10 0 0
246 9 0 0
247 7 0 0
248 10 0 0
249 3 0 0
250 6 0 0
251 4 0 0
252 4 0 0
253 6 0 0
254 6 1 0
255 30 0 1
